policy_number,transaction_id,premium_date,amount,payment_method,status,org_code
LNL0000019,2C11B62F369BFA54,2026-01-30,306.36,CREDIT_CARD,PAID,lnl
LNL0000019,900A51C9E89DB01B,2025-12-31,306.36,CHECK,PENDING,lnl
LNL0000020,2190232ECE046BA7,2026-03-01,726.25,CHECK,RETURNED,lnl
LNL0000020,58EC0E196ABBEF12,2026-01-30,726.25,CREDIT_CARD,PAID,lnl
LNL0000020,D5D0BD51E5C35381,2025-12-31,726.25,EFT,PENDING,lnl
LNL0000021,367DFC4BC629B894,2026-03-01,2147.04,EFT,PAID,lnl
LNL0000021,5D9220E58A92585F,2026-01-30,2147.04,EFT,PAID,lnl
LNL0000021,C9C60D5307445C68,2025-12-31,2147.04,CHECK,PAID,lnl
LNL0000022,40BD6DC9675D01E5,2026-03-01,337.55,CHECK,PAID,lnl
LNL0000022,8A6687B66B923378,2026-01-30,337.55,CREDIT_CARD,PAID,lnl
LNL0000022,4D640E6DEFC2DAB5,2025-12-31,337.55,EFT,PENDING,lnl
LNL0000023,A96BE476FE6FC382,2026-03-01,81.18,CHECK,RETURNED,lnl
LNL0000023,29B0286AA1E6D5CD,2026-01-30,81.18,EFT,PAID,lnl
LNL0000023,5DBAA7029CFC10D4,2025-12-31,81.18,CHECK,RETURNED,lnl
LNL0000024,9B0EB964F26C9508,2026-03-01,1676.96,CREDIT_CARD,PAID,lnl
LNL0000024,6F22806B2B4933E5,2026-01-30,1676.96,CHECK,RETURNED,lnl
LNL0000024,41B0CD32A8B0A2A9,2025-12-31,1676.96,CHECK,PENDING,lnl
LNL0000025,255C10A9B2DA58F0,2026-03-01,1719.40,EFT,PAID,lnl
LNL0000025,9DC40DE232D3C4D3,2026-01-30,1719.40,CREDIT_CARD,RETURNED,lnl
LNL0000025,54384690494A7B6A,2025-12-31,1719.40,EFT,PAID,lnl
LNL0000026,4CE737661E897214,2026-03-01,108.67,EFT,PAID,lnl
LNL0000026,8C841F36DC49AFB5,2026-01-30,108.67,EFT,PAID,lnl
LNL0000026,827411E624334898,2025-12-31,108.67,CREDIT_CARD,PAID,lnl
LNL0000027,011239B5F774C38B,2026-03-01,830.09,CREDIT_CARD,PAID,lnl
LNL0000027,C59CE1E4EFF0AF04,2026-01-30,830.09,CHECK,PAID,lnl
LNL0000027,4375EEAE395B2653,2025-12-31,830.09,CHECK,PAID,lnl
LNL0000028,5D55A92E774D8DE9,2026-03-01,234.44,CHECK,PENDING,lnl
LNL0000028,0FB01CE3A88F7405,2026-01-30,234.44,CHECK,RETURNED,lnl
LNL0000028,95D51A954B1BAB82,2025-12-31,234.44,CHECK,RETURNED,lnl
LNL0000029,BA078B41386761F2,2026-03-01,1653.16,CREDIT_CARD,PAID,lnl
LNL0000029,9CBB16A72F564D3A,2026-01-30,1653.16,CREDIT_CARD,PAID,lnl
LNL0000029,A3FC66CE191A8499,2025-12-31,1653.16,CREDIT_CARD,PAID,lnl
LNL0000030,5AAFB2C27170858C,2026-03-01,424.48,CHECK,RETURNED,lnl
LNL0000030,E39CE649CB0FE97F,2026-01-30,424.48,EFT,PAID,lnl
LNL0000030,A454263DF40B1622,2025-12-31,424.48,CREDIT_CARD,PAID,lnl
LNL0000031,862DF414F52A0032,2026-03-01,1063.58,EFT,RETURNED,lnl
LNL0000031,679B7C02BDE1EBC0,2026-01-30,1063.58,CHECK,PENDING,lnl
LNL0000031,F414C89A07A422DC,2025-12-31,1063.58,CHECK,PAID,lnl
LNL0000032,AB02D73A9F482472,2026-03-01,147.56,CHECK,PAID,lnl
LNL0000032,12DD196466EAD103,2026-01-30,147.56,CHECK,PENDING,lnl
LNL0000032,721D499B298CB60E,2025-12-31,147.56,CHECK,PAID,lnl
LNL0000033,A76D0118BBED9732,2026-03-01,80.81,EFT,PAID,lnl
LNL0000033,11CA84506FC60DF5,2026-01-30,80.81,EFT,PAID,lnl
LNL0000033,F2920AE3AD7EC49B,2025-12-31,80.81,EFT,PENDING,lnl
LNL0000034,D2F6F19D085D6755,2026-03-01,303.49,CHECK,PAID,lnl
LNL0000034,8C1E9F542132215A,2026-01-30,303.49,EFT,PAID,lnl
LNL0000034,FB845153E79C7FE0,2025-12-31,303.49,CHECK,PAID,lnl
LNL0000035,A6875BA66C070880,2026-03-01,136.76,CREDIT_CARD,PENDING,lnl
LNL0000035,CEE4C850F4E42A8F,2026-01-30,136.76,EFT,RETURNED,lnl
LNL0000035,9AD0DFC8BF1B543F,2025-12-31,136.76,EFT,PENDING,lnl
LNL0000036,D3930D809A14B4E8,2026-03-01,128.23,CHECK,PENDING,lnl
LNL0000036,C7C042831E6F8CD2,2026-01-30,128.23,EFT,RETURNED,lnl
LNL0000036,E1B12CC34A6E6F93,2025-12-31,128.23,CREDIT_CARD,PAID,lnl
LNL0000037,478743EE058F36D7,2026-03-01,325.52,EFT,PAID,lnl
LNL0000037,72D0692EF22F5B56,2026-01-30,325.52,CREDIT_CARD,PENDING,lnl
LNL0000037,90001738F4B189DA,2025-12-31,325.52,CREDIT_CARD,PENDING,lnl
LNL0000038,E5780F7A683BAF13,2026-03-01,399.92,EFT,PAID,lnl
LNL0000038,C2C21050172EB306,2026-01-30,399.92,EFT,PAID,lnl
LNL0000038,174B5EB6D369F3AB,2025-12-31,399.92,EFT,PENDING,lnl
LNL0000039,8E54B98B41C669E5,2026-03-01,375.56,EFT,PAID,lnl
LNL0000039,F4864FF8A5A0C2FD,2026-01-30,375.56,CREDIT_CARD,PENDING,lnl
LNL0000039,20E1C6EBFF52B409,2025-12-31,375.56,CREDIT_CARD,RETURNED,lnl
LNL0000040,11C514D7E07BCA47,2026-03-01,1356.32,EFT,PAID,lnl
LNL0000040,2173A27E00D5F776,2026-01-30,1356.32,EFT,RETURNED,lnl
LNL0000040,1BB33AD2761ADB65,2025-12-31,1356.32,EFT,PAID,lnl
LNL0000041,C8120D5CE352EC42,2026-03-01,100.44,CHECK,PAID,lnl
LNL0000041,B7E8FE713C44496E,2026-01-30,100.44,CREDIT_CARD,PENDING,lnl
LNL0000041,07C7DFE7D6D6552F,2025-12-31,100.44,EFT,PAID,lnl
LNL0000042,6C5E67E3DD281EAB,2026-03-01,291.03,CHECK,PAID,lnl
LNL0000042,078428816F981CC9,2026-01-30,291.03,EFT,PAID,lnl
LNL0000042,DC77BF9C9D872881,2025-12-31,291.03,EFT,PAID,lnl
LNL0000043,FBBD4A5DD33319FA,2026-03-01,217.61,CREDIT_CARD,PAID,lnl
LNL0000043,BCB55E1659BD6AE7,2026-01-30,217.61,CHECK,PAID,lnl
LNL0000043,9C8794E5076C758C,2025-12-31,217.61,CREDIT_CARD,RETURNED,lnl
LNL0000044,113F8AE39EDB17FF,2026-03-01,1805.46,EFT,PENDING,lnl
LNL0000044,78E072B15E346137,2026-01-30,1805.46,EFT,PENDING,lnl
LNL0000044,61402730FD2FBBCE,2025-12-31,1805.46,EFT,PENDING,lnl
LNL0000045,940559B63915DA2D,2026-03-01,212.81,CREDIT_CARD,PAID,lnl
LNL0000045,E29ADEF6F9A28036,2026-01-30,212.81,CREDIT_CARD,RETURNED,lnl
LNL0000045,FACABB81E3595C6E,2025-12-31,212.81,CHECK,PAID,lnl
LNL0000046,16FFA8F9E4AF7FB4,2026-03-01,264.51,EFT,RETURNED,lnl
LNL0000046,4C7939FDBDD3CF35,2026-01-30,264.51,CHECK,PAID,lnl
LNL0000046,FB1EBB873B3223E4,2025-12-31,264.51,CHECK,PAID,lnl
LNL0000047,19F781718EB13971,2026-03-01,608.34,CHECK,PAID,lnl
LNL0000047,42863E38909AB30E,2026-01-30,608.34,CHECK,PAID,lnl
LNL0000047,B18C4F533A54AC04,2025-12-31,608.34,CREDIT_CARD,PENDING,lnl
LNL0000048,F3DCFBDFCB3F6FC6,2026-03-01,159.26,CREDIT_CARD,PENDING,lnl
LNL0000048,731E9E128D8DCB63,2026-01-30,159.26,CHECK,PENDING,lnl
LNL0000048,CD92AAD73E5E4348,2025-12-31,159.26,CREDIT_CARD,PAID,lnl
LNL0000049,F1D903736DAA33A5,2026-03-01,782.45,EFT,RETURNED,lnl
LNL0000049,E08F15BE11E1E06B,2026-01-30,782.45,EFT,PAID,lnl
LNL0000049,BD906E100314D546,2025-12-31,782.45,CREDIT_CARD,PENDING,lnl
LNL0000050,26BD4239921B4B73,2026-03-01,790.09,CREDIT_CARD,RETURNED,lnl
LNL0000050,DC28855503C64EBF,2026-01-30,790.09,CREDIT_CARD,PAID,lnl
LNL0000050,17483D3630236CC4,2025-12-31,790.09,CHECK,PAID,lnl
LNL0000051,F75E6C57CF2206DB,2026-03-01,145.60,CHECK,PAID,lnl
LNL0000051,4621FFB1824621B6,2026-01-30,145.60,CHECK,PENDING,lnl
LNL0000051,93D7F4E8F1DA58DF,2025-12-31,145.60,CREDIT_CARD,PAID,lnl
LNL0000052,93886D7254BB223C,2026-03-01,572.19,EFT,PAID,lnl
LNL0000052,5621678C4F18B051,2026-01-30,572.19,EFT,RETURNED,lnl
LNL0000052,F8BE60A8C1A908F6,2025-12-31,572.19,EFT,PAID,lnl
LNL0000053,EA84279C705E9415,2026-03-01,1395.16,CHECK,RETURNED,lnl
LNL0000053,F00A2C28CF8F257B,2026-01-30,1395.16,EFT,PENDING,lnl
LNL0000053,DB8136FF75198427,2025-12-31,1395.16,EFT,RETURNED,lnl
LNL0000054,0496A0AABF71774B,2026-03-01,798.43,CREDIT_CARD,PAID,lnl
LNL0000054,7E48AB5AC9FEEEC3,2026-01-30,798.43,EFT,PAID,lnl
LNL0000054,7FB46BBEF9E0A00C,2025-12-31,798.43,CREDIT_CARD,RETURNED,lnl
LNL0000055,2E9AFD3082EDEC89,2026-03-01,146.75,EFT,PAID,lnl
LNL0000055,37902FD7E0B7BE72,2026-01-30,146.75,CREDIT_CARD,PENDING,lnl
LNL0000055,AB224346D1035E46,2025-12-31,146.75,CHECK,PAID,lnl
LNL0000056,15C622F204A52D65,2026-03-01,514.35,EFT,PAID,lnl
LNL0000056,F96A38506D32F675,2026-01-30,514.35,CREDIT_CARD,PAID,lnl
LNL0000056,9D01C149A86E9066,2025-12-31,514.35,CREDIT_CARD,PAID,lnl
LNL0000057,AEBBA24BB7FFC749,2026-03-01,53.47,EFT,PENDING,lnl
LNL0000057,DE717685224982F3,2026-01-30,53.47,CREDIT_CARD,PAID,lnl
LNL0000057,9E6C8E5239E49F08,2025-12-31,53.47,CHECK,PAID,lnl
LNL0000058,3846E428CD4CC645,2026-03-01,537.51,CHECK,PAID,lnl
LNL0000058,CE44A334D8EDFFA8,2026-01-30,537.51,CREDIT_CARD,PAID,lnl
LNL0000058,BDAFB365F633BA7A,2025-12-31,537.51,EFT,RETURNED,lnl
LNL0000059,D1F63B5AD7302171,2026-03-01,144.09,CREDIT_CARD,PAID,lnl
LNL0000059,9ECA37429BD20CF1,2026-01-30,144.09,EFT,RETURNED,lnl
LNL0000059,13A387B494B18E58,2025-12-31,144.09,EFT,RETURNED,lnl
LNL0000060,3B477E25EC66B7D0,2026-03-01,821.56,CREDIT_CARD,PAID,lnl
LNL0000060,C04561F20AB93DE7,2026-01-30,821.56,CREDIT_CARD,PAID,lnl
LNL0000060,54BE1B172E35366F,2025-12-31,821.56,CHECK,PAID,lnl
LNL0000061,F40B2FB493AE9998,2026-03-01,815.53,CHECK,PENDING,lnl
LNL0000061,C685E5F196E89BB2,2026-01-30,815.53,CHECK,PAID,lnl
LNL0000061,1A82EDA0E72D2C66,2025-12-31,815.53,CREDIT_CARD,PENDING,lnl
LNL0000062,3F8C601F60828586,2026-03-01,168.10,EFT,PAID,lnl
LNL0000062,297EEC7CC931F125,2026-01-30,168.10,EFT,RETURNED,lnl
LNL0000062,6B8264AFC65F1C58,2025-12-31,168.10,CREDIT_CARD,PAID,lnl
LNL0000063,55EC92B121D9B8D0,2026-03-01,117.45,CREDIT_CARD,RETURNED,lnl
LNL0000063,5B385C84EECFCD97,2026-01-30,117.45,CREDIT_CARD,PAID,lnl
LNL0000063,B594273BC364A918,2025-12-31,117.45,CHECK,RETURNED,lnl
LNL0000064,F31A17EA01E4A86A,2026-03-01,163.36,CHECK,PAID,lnl
LNL0000064,3B6FBB4DE048C1D7,2026-01-30,163.36,CHECK,PENDING,lnl
LNL0000064,D4B4122C1D3C406E,2025-12-31,163.36,CREDIT_CARD,PAID,lnl
LNL0000065,079C6605AF50BB63,2026-03-01,104.65,EFT,PAID,lnl
LNL0000065,3820CFC90872AA30,2026-01-30,104.65,CREDIT_CARD,PAID,lnl
LNL0000065,BEEEF6156A1A155E,2025-12-31,104.65,EFT,PAID,lnl
LNL0000066,9789C7A56A232D85,2026-03-01,3619.01,CHECK,PENDING,lnl
LNL0000066,126F1C0CAED61797,2026-01-30,3619.01,CHECK,PENDING,lnl
LNL0000066,B41AAE0B529ED6E7,2025-12-31,3619.01,EFT,PAID,lnl
LNL0000067,D35B8D6419F9A8F9,2026-03-01,2280.04,EFT,PAID,lnl
LNL0000067,A62592E49D80B2AF,2026-01-30,2280.04,EFT,RETURNED,lnl
LNL0000067,8E929F6E682507AE,2025-12-31,2280.04,CREDIT_CARD,RETURNED,lnl
LNL0000068,23EDE7E4CA31D84C,2026-03-01,2978.69,CHECK,RETURNED,lnl
LNL0000068,4481326E0AD1F694,2026-01-30,2978.69,EFT,PENDING,lnl
LNL0000068,B46D0B998FBCB37A,2025-12-31,2978.69,EFT,PENDING,lnl
LNL0000069,A669035A350BD795,2026-03-01,233.49,CHECK,RETURNED,lnl
LNL0000069,C7C5CDC7AFA33FD5,2026-01-30,233.49,CHECK,RETURNED,lnl
LNL0000069,FB23D72E8E2D3B77,2025-12-31,233.49,EFT,PENDING,lnl
LNL0000070,7B325848E17CCEC4,2026-03-01,858.82,CREDIT_CARD,PAID,lnl
LNL0000070,A7747A2E52C3EF99,2026-01-30,858.82,CREDIT_CARD,PAID,lnl
LNL0000070,3A955E43183E67D0,2025-12-31,858.82,CHECK,PAID,lnl
LNL0000071,8037DAA5ED10CDDC,2026-03-01,237.91,CHECK,PAID,lnl
LNL0000071,7E3FA35894EC854B,2026-01-30,237.91,CREDIT_CARD,PENDING,lnl
LNL0000071,2A1362120D875FCD,2025-12-31,237.91,EFT,PAID,lnl
LNL0000072,1B08AD3D9A77E28C,2026-03-01,497.91,CREDIT_CARD,PAID,lnl
LNL0000072,F564A3DD5BA83A71,2026-01-30,497.91,CHECK,PENDING,lnl
LNL0000072,F5313C058D6A6BAC,2025-12-31,497.91,CREDIT_CARD,PAID,lnl
LNL0000073,8BE555880C00B02B,2026-03-01,2131.96,CREDIT_CARD,PAID,lnl
LNL0000073,373A0FAC0BD82E7B,2026-01-30,2131.96,EFT,PAID,lnl
LNL0000073,B346224DBAFE0FB2,2025-12-31,2131.96,CHECK,RETURNED,lnl
LNL0000074,D21C8FDB1690A4A7,2026-03-01,2747.49,CREDIT_CARD,PENDING,lnl
LNL0000074,3B9A4F6746932405,2026-01-30,2747.49,CREDIT_CARD,RETURNED,lnl
LNL0000074,4AB0CF7C183C729F,2025-12-31,2747.49,EFT,PAID,lnl
LNL0000075,46AB19A785F43E00,2026-03-01,564.30,EFT,RETURNED,lnl
LNL0000075,338822900DC07130,2026-01-30,564.30,CREDIT_CARD,PAID,lnl
LNL0000075,01DBC5A49B300B9C,2025-12-31,564.30,EFT,PAID,lnl
LNL0000076,F00405DF618F46EB,2026-03-01,173.77,CREDIT_CARD,PAID,lnl
LNL0000076,DCE3281C4D9782B4,2026-01-30,173.77,CREDIT_CARD,PAID,lnl
LNL0000076,5CD60374006C1C9A,2025-12-31,173.77,EFT,PAID,lnl
LNL0000077,CFB466C03CC7A548,2026-03-01,171.02,CHECK,PAID,lnl
LNL0000077,625FF330C1A84212,2026-01-30,171.02,CREDIT_CARD,PAID,lnl
LNL0000077,47487CAECFCB7CB7,2025-12-31,171.02,CREDIT_CARD,PAID,lnl
LNL0000078,FB2C4D2A2ADD3557,2026-03-01,2740.12,EFT,PAID,lnl
LNL0000078,4D4E0634E0B16F55,2026-01-30,2740.12,EFT,PAID,lnl
LNL0000078,3FF048355CB8E0D4,2025-12-31,2740.12,CREDIT_CARD,PAID,lnl
LNL0000079,62D03976FC640245,2026-03-01,1868.85,CHECK,PAID,lnl
LNL0000079,D37121683752E50C,2026-01-30,1868.85,CHECK,RETURNED,lnl
LNL0000079,15DEB4363D7CA04C,2025-12-31,1868.85,CHECK,PAID,lnl
LNL0000080,94328939A350E002,2026-03-01,1107.11,CHECK,PAID,lnl
LNL0000080,B12633199BB5064A,2026-01-30,1107.11,EFT,PAID,lnl
LNL0000080,339ECE4546C80370,2025-12-31,1107.11,CHECK,PAID,lnl
LNL0000081,B217C6E654A69DF3,2026-03-01,4305.13,CREDIT_CARD,PAID,lnl
LNL0000081,4345DE11AA6E8F95,2026-01-30,4305.13,EFT,PAID,lnl
LNL0000081,2C09284A79F91D6B,2025-12-31,4305.13,CREDIT_CARD,RETURNED,lnl
LNL0000082,0021D53D657683F4,2026-03-01,166.33,CHECK,PAID,lnl
LNL0000082,BDCD50A789278930,2026-01-30,166.33,CREDIT_CARD,PENDING,lnl
LNL0000082,669AD1B303CCD0D6,2025-12-31,166.33,CREDIT_CARD,RETURNED,lnl
LNL0000083,035AA652BAF5DE9D,2026-03-01,2515.99,EFT,PAID,lnl
LNL0000083,3A2D00EB210B53F9,2026-01-30,2515.99,CHECK,RETURNED,lnl
LNL0000083,6FF7AA33B6A25462,2025-12-31,2515.99,EFT,RETURNED,lnl
LNL0000084,CFC710CB8AA37F1D,2026-03-01,218.86,CREDIT_CARD,PENDING,lnl
LNL0000084,E98AC635D246C163,2026-01-30,218.86,EFT,PAID,lnl
LNL0000084,9346C2B4C91C149B,2025-12-31,218.86,EFT,PAID,lnl
LNL0000085,F37D0B9B3E7A5BFD,2026-03-01,151.04,CREDIT_CARD,PAID,lnl
LNL0000085,066C7508EFDCDF67,2026-01-30,151.04,CHECK,PAID,lnl
LNL0000085,769AECD620B8691F,2025-12-31,151.04,CREDIT_CARD,PAID,lnl
LNL0000086,A17B438BC7C924B2,2026-03-01,2577.25,CHECK,PAID,lnl
LNL0000086,9E1ACD2C9FD5346E,2026-01-30,2577.25,CREDIT_CARD,PAID,lnl
LNL0000086,6F0D1498934699BA,2025-12-31,2577.25,EFT,RETURNED,lnl
LNL0000087,8ACF2479003A03FE,2026-03-01,630.67,CHECK,PAID,lnl
LNL0000087,29618B2A31377F04,2026-01-30,630.67,CREDIT_CARD,PAID,lnl
LNL0000087,F8B7A57B2ED1B997,2025-12-31,630.67,CREDIT_CARD,RETURNED,lnl
LNL0000088,259C6A12C0DF9D79,2026-03-01,3596.03,CREDIT_CARD,PAID,lnl
LNL0000088,1D26520F7C17A822,2026-01-30,3596.03,CREDIT_CARD,PENDING,lnl
LNL0000088,44DB9F3F2BE61EAE,2025-12-31,3596.03,CHECK,PAID,lnl
LNL0000089,FB075CEA107C43B0,2026-03-01,3764.27,CREDIT_CARD,RETURNED,lnl
LNL0000089,F659CD4B06EAEB93,2026-01-30,3764.27,CREDIT_CARD,PAID,lnl
LNL0000089,605A5A05CE9A6BDE,2025-12-31,3764.27,CHECK,PENDING,lnl
LNL0000090,D08BC583F2101827,2026-03-01,1616.81,CREDIT_CARD,PENDING,lnl
LNL0000090,1857C91427E723A3,2026-01-30,1616.81,CHECK,PAID,lnl
LNL0000090,F9339890DEF63B0D,2025-12-31,1616.81,CREDIT_CARD,PAID,lnl
LNL0000091,EB6A47E9E01B8BDA,2026-03-01,145.38,CHECK,PAID,lnl
LNL0000091,F3C4D8D4052DF394,2026-01-30,145.38,CREDIT_CARD,PAID,lnl
LNL0000091,E319C6620F93BFBA,2025-12-31,145.38,CREDIT_CARD,PAID,lnl
LNL0000092,57678B95B3F53AED,2026-03-01,1297.05,EFT,PENDING,lnl
LNL0000092,8D162C73151E3006,2026-01-30,1297.05,CREDIT_CARD,PAID,lnl
LNL0000092,92FADC2DC34134E1,2025-12-31,1297.05,EFT,PAID,lnl
LNL0000093,8BF53B4EF4A5125C,2026-03-01,945.96,CHECK,PAID,lnl
LNL0000093,B42E64B1AFCA549D,2026-01-30,945.96,EFT,RETURNED,lnl
LNL0000093,C9816C159C56DE4D,2025-12-31,945.96,CREDIT_CARD,PAID,lnl
LNL0000094,1CC08B24F76472CB,2026-03-01,324.84,EFT,PENDING,lnl
LNL0000094,DB9033FFEE63ED36,2026-01-30,324.84,EFT,PAID,lnl
LNL0000094,9F4AA57E7194A21D,2025-12-31,324.84,CREDIT_CARD,PAID,lnl
LNL0000095,7CEC1EECABE9107C,2026-03-01,660.66,EFT,RETURNED,lnl
LNL0000095,A87C8C2EE676886E,2026-01-30,660.66,CREDIT_CARD,RETURNED,lnl
LNL0000095,5C47C46AC356334C,2025-12-31,660.66,CHECK,PAID,lnl
LNL0000096,BD790309E85B041D,2026-03-01,172.53,CREDIT_CARD,PAID,lnl
LNL0000096,8D198AAC7D950A8E,2026-01-30,172.53,CREDIT_CARD,PAID,lnl
LNL0000096,C5D64C39A24C59E2,2025-12-31,172.53,CREDIT_CARD,PENDING,lnl
LNL0000097,9A60A81B6F789AF7,2026-03-01,3488.05,CHECK,PAID,lnl
LNL0000097,C16B31F6D3A94523,2026-01-30,3488.05,CREDIT_CARD,RETURNED,lnl
LNL0000097,742A874454E5DD4B,2025-12-31,3488.05,CREDIT_CARD,PAID,lnl
LNL0000098,B8172DB86E63F26C,2026-03-01,1536.16,EFT,RETURNED,lnl
LNL0000098,BA01C8D85933FE07,2026-01-30,1536.16,EFT,PAID,lnl
LNL0000098,9306E2E7E0BFDA35,2025-12-31,1536.16,EFT,PENDING,lnl
LNL0000099,D31CF43EA318EE13,2026-03-01,1732.42,EFT,PENDING,lnl
LNL0000099,E020B673DE715961,2026-01-30,1732.42,CREDIT_CARD,PAID,lnl
LNL0000099,D80C8B4E13BE20A9,2025-12-31,1732.42,EFT,PAID,lnl
LNL0000100,39180784811573D4,2026-03-01,97.55,CHECK,PENDING,lnl
LNL0000100,F7AC90AFD1BDA367,2026-01-30,97.55,EFT,PAID,lnl
LNL0000100,F800F548603819EB,2025-12-31,97.55,CREDIT_CARD,PAID,lnl
LNL0000101,43270848C8152B76,2026-03-01,156.45,CHECK,PAID,lnl
LNL0000101,57FB99C1EF4360C6,2026-01-30,156.45,CREDIT_CARD,PENDING,lnl
LNL0000101,13A727AA52344DDB,2025-12-31,156.45,EFT,PAID,lnl
LNL0000102,F80A95957951E2D9,2026-03-01,207.73,CHECK,PENDING,lnl
LNL0000102,BC6EDF02CBA647C3,2026-01-30,207.73,EFT,PAID,lnl
LNL0000102,38A5706E24D87FA4,2025-12-31,207.73,CREDIT_CARD,PENDING,lnl
